frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,27,314,-1,364.168,-2779.253,-43.320,1093663.863,4351714.833,18.450770875,18.346169209,77.401452749,-2526.590,3944.55,2539.33,986.14,634.83,-1.715,4.608,-157.066,0.199213758,0.036423761,0.022649931,-0.979016960,3394505.751,3391979.161,716390218,557
ROVER,27,320,-1,363.742,-2779.428,-43.338,1093663.437,4351714.658,18.450763692,18.346169209,77.401449638,-2526.572,3946.25,2538.63,986.56,634.66,-1.835,4.088,-157.731,0.193522409,0.031898472,0.022589244,-0.980316937,3394505.751,3391979.179,716390253,557
ROVER,27,326,-1,363.519,-2779.517,-43.350,1093663.214,4351714.569,18.450759939,18.346169209,77.401448054,-2526.560,3947.14,2538.28,986.79,634.57,-1.985,2.177,-157.518,0.195190847,0.015248880,0.020690326,-0.980428457,3394505.751,3391979.191,716390283,557
ROVER,27,332,-1,363.519,-2779.517,-43.350,1093663.214,4351714.569,18.450759937,18.346169209,77.401448056,-2526.560,3947.14,2538.28,986.79,634.57,-1.958,2.178,-162.537,0.152073175,0.016186289,0.019772783,-0.988038838,3394505.751,3391979.191,716390337,557
ROVER,27,336,-1,363.521,-2779.524,-43.349,1093663.216,4351714.562,18.450759959,18.346169209,77.401447931,-2526.561,3947.14,2538.25,986.78,634.56,-1.899,1.905,-162.389,0.153310403,0.013887327,0.018913342,-0.987899482,3394505.751,3391979.190,716390351,557
ROVER,27,342,-1,363.064,-2779.660,-43.365,1093662.759,4351714.426,18.450752263,18.346169209,77.401445507,-2526.545,3948.96,2537.70,987.24,634.43,-2.024,0.253,-163.311,0.145141676,-0.000377053,0.017798154,-0.989250720,3394505.751,3391979.206,716390386,557
ROVER,27,348,-1,362.544,-2779.803,-43.391,1093662.239,4351714.283,18.450743482,18.346169209,77.401442974,-2526.519,3951.04,2537.13,987.76,634.28,-2.131,-0.767,-164.343,0.136062145,-0.009162926,0.017506855,-0.990503252,3394505.755,3391979.236,716390422,557
SITE,28,-1,-1,362.544,-2779.803,-43.391,1093662.239,4351714.283,18.450743482,18.346169209,77.401442975,-2526.519,3951.04,2537.13,987.76,634.28,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394505.755,3391979.236,716393047,557
ROVER,28,6,-1,362.544,-2779.803,-43.391,1093662.239,4351714.283,18.450743480,18.346169209,77.401442971,-2526.519,3951.04,2537.13,987.76,634.28,-1.874,-1.122,-170.985,0.078416570,-0.011044282,0.015531434,-0.996738500,3394505.755,3391979.236,717103939,565
ROVER,28,10,-1,362.491,-2779.780,-43.385,1093662.186,4351714.306,18.450742593,18.346169209,77.401443372,-2526.525,3951.25,2537.22,987.81,634.31,-1.654,-1.239,-170.995,0.078335516,-0.011909846,0.013535119,-0.996764004,3394505.755,3391979.229,717103994,565
